#,Date-Time (PST/PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,01/03/2024 08:34:53,30.24,44.800,16.94,,
2,01/03/2024 08:44:53,28.49,46.167,15.82,,
3,01/03/2024 08:54:53,28.02,47.852,15.96,,
4,01/03/2024 09:04:53,26.70,45.313,13.91,,
5,01/03/2024 09:14:53,26.38,51.880,15.72,,
6,01/03/2024 09:24:53,26.38,50.854,15.41,,
7,01/03/2024 09:34:53,26.45,50.928,15.49,,
8,01/03/2024 09:44:53,26.57,50.830,15.57,,
9,01/03/2024 09:54:53,26.72,50.708,15.67,,
10,01/03/2024 10:04:53,26.84,50.562,15.74,,
11,01/03/2024 10:14:53,26.94,50.439,15.79,,
12,01/03/2024 10:24:53,27.06,50.342,15.87,,
13,01/03/2024 10:34:53,27.16,50.244,15.93,,
14,01/03/2024 10:44:53,27.26,50.146,15.99,,
15,01/03/2024 10:54:53,27.36,50.049,16.06,,
16,01/03/2024 11:04:53,27.46,50.000,16.13,,
17,01/03/2024 11:14:53,27.55,49.951,16.20,,
18,01/03/2024 11:24:53,26.28,52.148,15.71,,
19,01/03/2024 11:34:53,26.35,52.612,15.91,,
20,01/03/2024 11:44:53,26.45,52.466,15.96,,
21,01/03/2024 11:54:53,26.60,52.222,16.02,,
22,01/03/2024 12:04:53,26.74,51.904,16.06,,
23,01/03/2024 12:14:53,26.87,51.636,16.10,,
24,01/03/2024 12:24:53,26.99,51.440,16.15,,
25,01/03/2024 12:34:53,27.11,51.245,16.20,,
26,01/03/2024 12:44:53,27.21,51.050,16.23,,
27,01/03/2024 12:54:53,27.33,50.928,16.30,,
28,01/03/2024 13:04:53,27.43,50.757,16.34,,
29,01/03/2024 13:14:53,27.51,50.610,16.37,,
30,01/03/2024 13:24:53,26.33,50.635,15.29,,
31,01/03/2024 13:34:53,26.28,53.442,16.09,,
32,01/03/2024 13:44:53,26.35,53.345,16.13,,
33,01/03/2024 13:54:53,26.50,53.052,16.18,,
34,01/03/2024 14:04:53,26.65,52.710,16.22,,
35,01/03/2024 14:14:53,26.77,52.393,16.23,,
36,01/03/2024 14:24:53,26.92,52.075,16.27,,
37,01/03/2024 14:34:53,27.04,51.807,16.30,,
38,01/03/2024 14:44:53,27.16,51.636,16.36,,
39,01/03/2024 14:54:53,27.26,51.440,16.39,,
40,01/03/2024 15:04:53,27.36,51.294,16.44,,
41,01/03/2024 15:14:53,27.46,51.123,16.48,,
42,01/03/2024 15:24:53,27.51,49.585,16.05,,
43,01/03/2024 15:34:53,26.18,53.564,16.03,,
