#,Date-Time (PST/PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,2/7/2023 15:17,27.09,45.093,14.19,,
2,2/7/2023 15:22,26.4,41.724,12.37,,
3,2/7/2023 15:27,26.18,45.337,13.44,,
4,2/7/2023 15:32,26.13,48.877,14.56,,
5,2/7/2023 15:37,26.16,51.392,15.37,,
6,2/7/2023 15:42,26.21,53.857,16.15,,
7,2/7/2023 15:47,26.26,55.981,16.8,,
8,2/7/2023 15:52,26.3,58.057,17.41,,
9,2/7/2023 15:57,26.4,59.204,17.82,,
10,2/7/2023 16:02,26.48,59.912,18.08,,
11,2/7/2023 16:07,26.57,60.498,18.32,,
12,2/7/2023 16:12,26.67,60.986,18.55,,
13,2/7/2023 16:17,26.77,61.401,18.75,,
14,2/7/2023 16:22,26.84,61.743,18.9,,
15,2/7/2023 16:27,26.94,62.061,19.08,,
16,2/7/2023 16:32,25.16,57.227,16.12,,
17,2/7/2023 16:37,25.26,67.749,18.89,,
18,2/7/2023 16:42,25.5,67.798,19.14,,
19,2/7/2023 16:47,25.67,67.651,19.26,,
20,2/7/2023 16:52,25.82,67.529,19.38,,
21,2/7/2023 16:57,25.96,67.383,19.47,,
22,2/7/2023 17:02,26.08,67.285,19.57,,
23,2/7/2023 17:07,26.21,67.212,19.67,,
24,2/7/2023 17:12,26.3,67.188,19.75,,
25,2/7/2023 17:17,26.43,67.139,19.86,,
26,2/7/2023 17:22,26.52,67.139,19.95,,
27,2/7/2023 17:27,26.62,67.114,20.04,,
28,2/7/2023 17:32,26.72,67.114,20.13,,
29,2/7/2023 17:37,26.79,67.139,20.21,,
30,2/7/2023 17:42,26.87,67.139,20.28,,
31,2/7/2023 17:47,25.67,52.832,15.35,,
32,2/7/2023 17:52,25.16,70.337,19.4,,
33,2/7/2023 17:57,25.4,72.632,20.15,,
34,2/7/2023 18:02,25.57,72.339,20.25,,
35,2/7/2023 18:07,25.74,71.948,20.32,,
36,2/7/2023 18:12,25.89,71.582,20.39,,
37,2/7/2023 18:17,25.94,68.555,19.73,,
38,2/7/2023 18:20,,,,Logged,
39,2/7/2023 18:22,25.99,57.617,17,,
40,2/7/2023 18:27,26.06,56.982,16.9,,
41,2/7/2023 18:32,26.18,57.52,17.16,,
42,2/7/2023 18:37,26.23,55.347,16.59,,
43,2/7/2023 18:42,26.3,57.007,17.13,,
44,2/7/2023 18:47,26.4,58.032,17.5,,
45,2/7/2023 18:52,26.5,58.74,17.79,,
46,2/7/2023 18:57,26.55,60.107,18.2,,
47,2/7/2023 19:02,26.65,61.108,18.56,,
48,2/7/2023 19:07,26.72,61.646,18.76,,
49,2/7/2023 19:12,26.82,62.036,18.96,,
50,2/7/2023 19:17,26.87,63.306,19.33,,
51,2/7/2023 19:22,26.87,63.086,19.28,,
52,2/7/2023 19:27,25.16,62.842,17.6,,
53,2/7/2023 19:32,25.36,69.629,19.43,,
54,2/7/2023 19:37,25.55,69.58,19.6,,
55,2/7/2023 19:42,25.72,69.336,19.71,,
56,2/7/2023 19:47,25.89,69.067,19.81,,
57,2/7/2023 19:52,26.01,68.823,19.86,,
58,2/7/2023 19:57,26.13,68.604,19.93,,
59,2/7/2023 20:02,26.26,68.408,20,,
60,2/7/2023 20:06,,,,Logged,
61,2/7/2023 20:07,26.33,65.234,19.3,,
62,2/7/2023 20:12,26.35,64.526,19.15,,
63,2/7/2023 20:17,26.33,64.893,19.22,,
64,2/7/2023 20:22,26.33,65.259,19.31,,
65,2/7/2023 20:27,26.3,65.625,19.37,,
66,2/7/2023 20:32,26.3,65.918,19.44,,
67,2/7/2023 20:37,26.28,66.235,19.5,,
68,2/7/2023 20:42,26.28,66.479,19.56,,
69,2/7/2023 20:47,26.26,66.724,19.6,,
70,2/7/2023 20:52,26.26,66.919,19.65,,
71,2/7/2023 20:57,26.26,67.09,19.69,,
72,2/7/2023 21:02,26.26,67.188,19.71,,
73,2/7/2023 21:07,26.26,67.212,19.72,,
74,2/7/2023 21:12,26.26,67.188,19.71,,
75,2/7/2023 21:17,26.26,67.139,19.7,,
76,2/7/2023 21:22,26.26,67.017,19.67,,
77,2/7/2023 21:27,26.26,66.895,19.64,,
78,2/7/2023 21:32,26.26,66.748,19.61,,
79,2/7/2023 21:37,26.28,66.553,19.58,,
80,2/7/2023 21:42,26.28,66.431,19.55,,
81,2/7/2023 21:47,26.28,66.187,19.49,,
82,2/7/2023 21:52,26.28,65.991,19.44,,
83,2/7/2023 21:57,26.28,65.796,19.4,,
84,2/7/2023 22:02,26.3,65.601,19.37,,
85,2/7/2023 22:07,26.3,65.405,19.32,,
86,2/7/2023 22:12,26.3,65.186,19.26,,
87,2/7/2023 22:17,26.3,65.015,19.22,,
88,2/7/2023 22:22,26.3,64.795,19.17,,
89,2/7/2023 22:27,26.3,64.6,19.12,,
90,2/7/2023 22:32,26.33,64.355,19.09,,
91,2/7/2023 22:37,26.33,64.16,19.04,,
